k,mean_power,ci_lo_95,ci_hi_95,k_80
2,0.503,0.4811,0.5249,-1
3,0.341,0.3202,0.3618,-1
4,0.2425,0.2237,0.2613,-1
5,0.2135,0.1955,0.2315,-1
6,0.196,0.1786,0.2134,-1
7,0.191,0.1738,0.2082,-1
8,0.198,0.1805,0.2155,-1
9,0.1675,0.1511,0.1839,-1
10,0.165,0.1487,0.1813,-1
11,0.163,0.1468,0.1792,-1
12,0.1525,0.1367,0.1683,-1
13,0.159,0.143,0.175,-1
14,0.148,0.1324,0.1636,-1
15,0.167,0.1507,0.1833,-1
16,0.1685,0.1521,0.1849,-1
17,0.149,0.1334,0.1646,-1
18,0.158,0.142,0.174,-1
19,0.176,0.1593,0.1927,-1
20,0.1505,0.1348,0.1662,-1
